user_id,movie_id,rating,timestamp,rating_normalized
user_1000,16564,5.0,2025-10-26T21:46:31.912450,1.0
user_0711,48988,5.0,2025-10-26T21:46:31.913450,1.0
user_0471,616,5.0,2025-10-26T21:46:31.913450,1.0
user_0486,4108,5.0,2025-10-26T21:46:31.914450,1.0
user_0227,57165,5.0,2025-10-26T21:46:31.914450,1.0
user_0740,87421,5.0,2025-10-26T21:46:31.915450,1.0
user_0761,75612,5.0,2025-10-26T21:46:31.916450,1.0
user_0486,157336,5.0,2025-10-26T21:46:31.916450,1.0
user_0898,12201,4.9,2025-10-26T21:46:31.917450,0.9750000000000001
user_0971,177572,5.0,2025-10-26T21:46:31.917450,1.0
user_0290,23169,5.0,2025-10-26T21:46:31.918450,1.0
user_0039,76341,5.0,2025-10-26T21:46:31.918450,1.0
user_0224,157336,5.0,2025-10-26T21:46:31.919450,1.0
user_0070,10481,4.4,2025-10-26T21:46:31.919450,0.8500000000000001
user_0745,38541,2.1,2025-10-26T21:46:31.920451,0.275
user_0941,300673,5.0,2025-10-26T21:46:31.921739,1.0
user_0296,211672,5.0,2025-10-26T21:46:31.921912,1.0
user_0658,118957,5.0,2025-10-26T21:46:31.922952,1.0
user_0845,177677,5.0,2025-10-26T21:46:31.923952,1.0
user_0537,256962,5.0,2025-10-26T21:46:31.923952,1.0
user_0909,91314,5.0,2025-10-26T21:46:31.924951,1.0
user_0671,808,5.0,2025-10-26T21:46:31.925951,1.0
user_0767,500,4.7,2025-10-26T21:46:31.926951,0.925
user_0056,8358,5.0,2025-10-26T21:46:31.927446,1.0
user_0831,10991,5.0,2025-10-26T21:46:31.928094,1.0
user_0925,18,5.0,2025-10-26T21:46:31.928094,1.0
user_0564,26371,5.0,2025-10-26T21:46:31.928094,1.0
user_0173,3059,5.0,2025-10-26T21:46:31.928094,1.0
user_0158,82702,5.0,2025-10-26T21:46:31.928094,1.0
user_0028,72105,4.3,2025-10-26T21:46:31.928094,0.825
user_0488,117,5.0,2025-10-26T21:46:31.928094,1.0
user_0970,769,5.0,2025-10-26T21:46:31.928094,1.0
user_0534,4148,5.0,2025-10-26T21:46:31.928094,1.0
user_0397,7350,5.0,2025-10-26T21:46:31.928094,1.0
user_0684,9600,5.0,2025-10-26T21:46:31.928094,1.0
user_0941,68724,4.9,2025-10-26T21:46:31.928094,0.9750000000000001
user_0182,106646,5.0,2025-10-26T21:46:31.928094,1.0
user_0965,2636,2.2,2025-10-26T21:46:31.928094,0.30000000000000004
user_0450,9890,3.7,2025-10-26T21:46:31.928094,0.675
user_0744,652,5.0,2025-10-26T21:46:31.928094,1.0
user_0655,11499,5.0,2025-10-26T21:46:31.928094,1.0
user_0191,9988,5.0,2025-10-26T21:46:31.928094,1.0
user_0174,135397,5.0,2025-10-26T21:46:31.928094,1.0
user_0967,708,4.9,2025-10-26T21:46:31.928094,0.9750000000000001
user_0581,198663,5.0,2025-10-26T21:46:31.928094,1.0
user_0052,9012,5.0,2025-10-26T21:46:31.928094,1.0
user_0024,214,3.4,2025-10-26T21:46:31.943754,0.6
user_0306,76341,5.0,2025-10-26T21:46:31.943754,1.0
user_0207,9654,5.0,2025-10-26T21:46:31.943754,1.0
user_0929,6973,5.0,2025-10-26T21:46:31.943754,1.0
user_0430,49730,5.0,2025-10-26T21:46:31.943754,1.0
user_0825,9486,5.0,2025-10-26T21:46:31.943754,1.0
user_0624,107985,5.0,2025-10-26T21:46:31.943754,1.0
user_0369,49519,5.0,2025-10-26T21:46:31.943754,1.0
user_0961,2059,5.0,2025-10-26T21:46:31.943754,1.0
user_0430,13335,4.6,2025-10-26T21:46:31.943754,0.8999999999999999
user_0183,139715,5.0,2025-10-26T21:46:31.943754,1.0
user_0539,10985,5.0,2025-10-26T21:46:31.943754,1.0
user_0733,1892,5.0,2025-10-26T21:46:31.943754,1.0
user_0655,17578,5.0,2025-10-26T21:46:31.943754,1.0
user_0472,325133,5.0,2025-10-26T21:46:31.943754,1.0
user_0901,17134,5.0,2025-10-26T21:46:31.943754,1.0
user_0502,818,4.0,2025-10-26T21:46:31.943754,0.75
user_0884,788,5.0,2025-10-26T21:46:31.943754,1.0
user_0550,12771,1.0,2025-10-26T21:46:31.943754,0.0
user_0873,9279,5.0,2025-10-26T21:46:31.943754,1.0
user_0495,350,5.0,2025-10-26T21:46:31.943754,1.0
user_0134,765,4.7,2025-10-26T21:46:31.943754,0.925
user_0319,49517,5.0,2025-10-26T21:46:31.943754,1.0
user_0947,87101,5.0,2025-10-26T21:46:31.943754,1.0
user_0461,91314,5.0,2025-10-26T21:46:31.943754,1.0
user_0042,11631,4.2,2025-10-26T21:46:31.943754,0.8
user_0573,82700,5.0,2025-10-26T21:46:31.943754,1.0
user_0733,50620,5.0,2025-10-26T21:46:31.943754,1.0
user_0696,5279,5.0,2025-10-26T21:46:31.943754,1.0
user_0269,118340,5.0,2025-10-26T21:46:31.959379,1.0
user_0186,5503,5.0,2025-10-26T21:46:31.959379,1.0
user_0968,177572,5.0,2025-10-26T21:46:31.959379,1.0
user_0973,64688,5.0,2025-10-26T21:46:31.959379,1.0
user_0228,22954,3.4,2025-10-26T21:46:31.959379,0.6
user_0909,242582,5.0,2025-10-26T21:46:31.959379,1.0
user_0376,109729,4.7,2025-10-26T21:46:31.959379,0.925
user_0726,297,5.0,2025-10-26T21:46:31.959379,1.0
user_0833,10330,5.0,2025-10-26T21:46:31.959379,1.0
user_0941,1979,4.3,2025-10-26T21:46:31.959379,0.825
user_0401,1272,5.0,2025-10-26T21:46:31.959379,1.0
user_0070,76341,5.0,2025-10-26T21:46:31.959379,1.0
user_0121,862,5.0,2025-10-26T21:46:31.959379,1.0
user_0741,157336,5.0,2025-10-26T21:46:31.959379,1.0
user_0279,49051,5.0,2025-10-26T21:46:31.959379,1.0
user_0147,13809,5.0,2025-10-26T21:46:31.959379,1.0
user_0890,134411,3.9,2025-10-26T21:46:31.959379,0.725
user_0738,38356,5.0,2025-10-26T21:46:31.959379,1.0
user_0369,9919,5.0,2025-10-26T21:46:31.959379,1.0
user_0960,244786,5.0,2025-10-26T21:46:31.959379,1.0
user_0935,1246,5.0,2025-10-26T21:46:31.959379,1.0
user_0889,9358,4.7,2025-10-26T21:46:31.959379,0.925
user_0186,187017,5.0,2025-10-26T21:46:31.959379,1.0
user_0982,157547,4.7,2025-10-26T21:46:31.971334,0.925
user_0122,271718,5.0,2025-10-26T21:46:31.971334,1.0
user_0172,7518,5.0,2025-10-26T21:46:31.972019,1.0
user_0635,87502,5.0,2025-10-26T21:46:31.973033,1.0
